Name,varName,varType,units,use,varMin,p10,p50,p90,varMax,numberDecimals,categorical
# Any row in this sheet will be disregaurded as long as the Name variable begins with a "#"
#
# Orbital consideration
Engine ISP,engineISP,numerical,1,randomize,300,350,420,450,500,0
Engine mass,engineMass,numerical,kg,randomize,30,40,50,60,65,1
Propellant Ratio Harvested at Asteroid,asteroidPropellantRatio,numerical,none,randomize,0,.3,.5,.8,1,2
Spacecraft Dry Mass initial guess,dryMassGuess,numerical,kg,p10,400,400,400,400,400,0
